ZIP,Type,Percentage
10075,American,0.095
10075,Asian,0.048
10075,Chinese,0.048
10075,Dessert,0.095
10075,European,0.143
10075,French,0
10075,Italian,0.286
10075,Mexcian,0.048
10075,Other,0
10075,QuickMeal,0.238
10075,Seafood,0
10128,American,0.333
10128,Asian,0.128
10128,Chinese,0.128
10128,Dessert,0.026
10128,European,0.077
10128,French,0
10128,Italian,0.103
10128,Mexcian,0.026
10128,Other,0.051
10128,QuickMeal,0.128
10128,Seafood,0
10029,American,0.298
10029,Asian,0.043
10029,Chinese,0.085
10029,Dessert,0.043
10029,European,0.085
10029,French,0
10029,Italian,0
10029,Mexcian,0.17
10029,Other,0.043
10029,QuickMeal,0.213
10029,Seafood,0.021
11414,American,0
11414,Asian,0.214
11414,Chinese,0.071
11414,Dessert,0.143
11414,European,0
11414,French,0
11414,Italian,0.357
11414,Mexcian,0
11414,Other,0
11414,QuickMeal,0.214
11414,Seafood,0
10022,American,0.495
10022,Asian,0.178
10022,Chinese,0.02
10022,Dessert,0.03
10022,European,0.069
10022,French,0
10022,Italian,0.079
10022,Mexcian,0
10022,Other,0.05
10022,QuickMeal,0.079
10022,Seafood,0
10011,American,0.407
10011,Asian,0.102
10011,Chinese,0.056
10011,Dessert,0.083
10011,European,0.083
10011,French,0
10011,Italian,0.13
10011,Mexcian,0.037
10011,Other,0.028
10011,QuickMeal,0.065
10011,Seafood,0.009
11358,American,0.093
11358,Asian,0.442
11358,Chinese,0.163
11358,Dessert,0.093
11358,European,0.07
11358,French,0
11358,Italian,0.047
11358,Mexcian,0
11358,Other,0
11358,QuickMeal,0.093
11358,Seafood,0
10019,American,0.446
10019,Asian,0.115
10019,Chinese,0.032
10019,Dessert,0.025
10019,European,0.076
10019,French,0
10019,Italian,0.127
10019,Mexcian,0.051
10019,Other,0.038
10019,QuickMeal,0.083
10019,Seafood,0.006
11249,American,0.395
11249,Asian,0.079
11249,Chinese,0.053
11249,Dessert,0.053
11249,European,0.105
11249,French,0.026
11249,Italian,0.105
11249,Mexcian,0.079
11249,Other,0.026
11249,QuickMeal,0.026
11249,Seafood,0.053
11368,American,0.343
11368,Asian,0
11368,Chinese,0.071
11368,Dessert,0.029
11368,European,0.2
11368,French,0
11368,Italian,0.029
11368,Mexcian,0.157
11368,Other,0.071
11368,QuickMeal,0.1
11368,Seafood,0
11367,American,0.133
11367,Asian,0.067
11367,Chinese,0.133
11367,Dessert,0.067
11367,European,0.067
11367,French,0
11367,Italian,0
11367,Mexcian,0
11367,Other,0.467
11367,QuickMeal,0.067
11367,Seafood,0
11372,American,0.308
11372,Asian,0.165
11372,Chinese,0.055
11372,Dessert,0.022
11372,European,0.154
11372,French,0
11372,Italian,0.022
11372,Mexcian,0.066
11372,Other,0.121
11372,QuickMeal,0.077
11372,Seafood,0.011
10002,American,0.283
10002,Asian,0.088
10002,Chinese,0.301
10002,Dessert,0.071
10002,European,0.062
10002,French,0
10002,Italian,0.044
10002,Mexcian,0.035
10002,Other,0.009
10002,QuickMeal,0.097
10002,Seafood,0.009
10010,American,0.481
10010,Asian,0.111
10010,Chinese,0.037
10010,Dessert,0.037
10010,European,0.093
10010,French,0
10010,Italian,0.093
10010,Mexcian,0.019
10010,Other,0.037
10010,QuickMeal,0.093
10010,Seafood,0
11419,American,0.065
11419,Asian,0.194
11419,Chinese,0.258
11419,Dessert,0
11419,European,0
11419,French,0
11419,Italian,0.032
11419,Mexcian,0.419
11419,Other,0
11419,QuickMeal,0.032
11419,Seafood,0
11218,American,0.15
11218,Asian,0.125
11218,Chinese,0.05
11218,Dessert,0.025
11218,European,0.1
11218,French,0
11218,Italian,0.075
11218,Mexcian,0.1
11218,Other,0.275
11218,QuickMeal,0.1
11218,Seafood,0
10004,American,0.529
10004,Asian,0.088
10004,Chinese,0.029
10004,Dessert,0.029
10004,European,0.029
10004,French,0
10004,Italian,0.118
10004,Mexcian,0.029
10004,Other,0
10004,QuickMeal,0.147
10004,Seafood,0
11215,American,0.341
11215,Asian,0.176
11215,Chinese,0.106
11215,Dessert,0.118
11215,European,0.047
11215,French,0
11215,Italian,0.047
11215,Mexcian,0.047
11215,Other,0.047
11215,QuickMeal,0.071
11215,Seafood,0
11236,American,0.043
11236,Asian,0
11236,Chinese,0.261
11236,Dessert,0
11236,European,0.043
11236,French,0
11236,Italian,0.043
11236,Mexcian,0.478
11236,Other,0.043
11236,QuickMeal,0.087
11236,Seafood,0
10009,American,0.451
10009,Asian,0.085
10009,Chinese,0.028
10009,Dessert,0.07
10009,European,0.113
10009,French,0
10009,Italian,0.042
10009,Mexcian,0.042
10009,Other,0.042
10009,QuickMeal,0.127
10009,Seafood,0
11103,American,0.327
11103,Asian,0.127
11103,Chinese,0.018
11103,Dessert,0.091
11103,European,0.2
11103,French,0.018
11103,Italian,0.018
11103,Mexcian,0.036
11103,Other,0.073
11103,QuickMeal,0.091
11103,Seafood,0
11375,American,0.196
11375,Asian,0.176
11375,Chinese,0.078
11375,Dessert,0.02
11375,European,0.137
11375,French,0
11375,Italian,0.02
11375,Mexcian,0.02
11375,Other,0.137
11375,QuickMeal,0.216
11375,Seafood,0
10016,American,0.362
10016,Asian,0.198
10016,Chinese,0.078
10016,Dessert,0.009
10016,European,0.078
10016,French,0
10016,Italian,0.095
10016,Mexcian,0.052
10016,Other,0.086
10016,QuickMeal,0.043
10016,Seafood,0
11206,American,0.258
11206,Asian,0.097
11206,Chinese,0.097
11206,Dessert,0.097
11206,European,0.161
11206,French,0
11206,Italian,0
11206,Mexcian,0.065
11206,Other,0.032
11206,QuickMeal,0.194
11206,Seafood,0
10007,American,0.333
10007,Asian,0.222
10007,Chinese,0
10007,Dessert,0.074
10007,European,0.111
10007,French,0
10007,Italian,0.074
10007,Mexcian,0.037
10007,Other,0.074
10007,QuickMeal,0.074
10007,Seafood,0
10012,American,0.369
10012,Asian,0.097
10012,Chinese,0.01
10012,Dessert,0.117
10012,European,0.087
10012,French,0
10012,Italian,0.126
10012,Mexcian,0.019
10012,Other,0.078
10012,QuickMeal,0.078
10012,Seafood,0.019
10036,American,0.434
10036,Asian,0.096
10036,Chinese,0.029
10036,Dessert,0.081
10036,European,0.096
10036,French,0
10036,Italian,0.096
10036,Mexcian,0.022
10036,Other,0.059
10036,QuickMeal,0.081
10036,Seafood,0.007
11231,American,0.429
11231,Asian,0.071
11231,Chinese,0.048
11231,Dessert,0.071
11231,European,0.071
11231,French,0
11231,Italian,0.119
11231,Mexcian,0.024
11231,Other,0
11231,QuickMeal,0.143
11231,Seafood,0.024
10018,American,0.507
10018,Asian,0.145
10018,Chinese,0.043
10018,Dessert,0.087
10018,European,0.029
10018,French,0
10018,Italian,0.043
10018,Mexcian,0
10018,Other,0.043
10018,QuickMeal,0.101
10018,Seafood,0
10003,American,0.331
10003,Asian,0.244
10003,Chinese,0.025
10003,Dessert,0.062
10003,European,0.056
10003,French,0
10003,Italian,0.094
10003,Mexcian,0.062
10003,Other,0.044
10003,QuickMeal,0.056
10003,Seafood,0.025
10020,American,0.714
10020,Asian,0
10020,Chinese,0
10020,Dessert,0.143
10020,European,0
10020,French,0
10020,Italian,0
10020,Mexcian,0
10020,Other,0
10020,QuickMeal,0.143
10020,Seafood,0
10014,American,0.362
10014,Asian,0.053
10014,Chinese,0.021
10014,Dessert,0.074
10014,European,0.17
10014,French,0
10014,Italian,0.106
10014,Mexcian,0.032
10014,Other,0.064
10014,QuickMeal,0.085
10014,Seafood,0.032
10310,American,0.538
10310,Asian,0.077
10310,Chinese,0
10310,Dessert,0
10310,European,0.077
10310,French,0
10310,Italian,0.154
10310,Mexcian,0.077
10310,Other,0
10310,QuickMeal,0.077
10310,Seafood,0
11104,American,0.444
11104,Asian,0.148
11104,Chinese,0.037
11104,Dessert,0.074
11104,European,0.074
11104,French,0
11104,Italian,0
11104,Mexcian,0.037
11104,Other,0.037
11104,QuickMeal,0.148
11104,Seafood,0
10469,American,0.15
10469,Asian,0
10469,Chinese,0.1
10469,Dessert,0
10469,European,0.1
10469,French,0
10469,Italian,0
10469,Mexcian,0.45
10469,Other,0
10469,QuickMeal,0.2
10469,Seafood,0
11418,American,0.318
11418,Asian,0.136
11418,Chinese,0.136
11418,Dessert,0.045
11418,European,0.045
11418,French,0
11418,Italian,0.045
11418,Mexcian,0.091
11418,Other,0.045
11418,QuickMeal,0.091
11418,Seafood,0.045
11430,American,0.593
11430,Asian,0.074
11430,Chinese,0
11430,Dessert,0.074
11430,European,0.037
11430,French,0
11430,Italian,0
11430,Mexcian,0.074
11430,Other,0.037
11430,QuickMeal,0.111
11430,Seafood,0
11366,American,0.133
11366,Asian,0.267
11366,Chinese,0.133
11366,Dessert,0
11366,European,0.133
11366,French,0
11366,Italian,0.133
11366,Mexcian,0
11366,Other,0.133
11366,QuickMeal,0.067
11366,Seafood,0
11216,American,0.241
11216,Asian,0.103
11216,Chinese,0.103
11216,Dessert,0.138
11216,European,0.034
11216,French,0
11216,Italian,0
11216,Mexcian,0.241
11216,Other,0.103
11216,QuickMeal,0.034
11216,Seafood,0
11209,American,0.3
11209,Asian,0.167
11209,Chinese,0.067
11209,Dessert,0.033
11209,European,0.1
11209,French,0
11209,Italian,0.133
11209,Mexcian,0.033
11209,Other,0
11209,QuickMeal,0.15
11209,Seafood,0.017
11220,American,0.158
11220,Asian,0.026
11220,Chinese,0.461
11220,Dessert,0.039
11220,European,0.013
11220,French,0
11220,Italian,0
11220,Mexcian,0.105
11220,Other,0.026
11220,QuickMeal,0.171
11220,Seafood,0
11101,American,0.466
11101,Asian,0.034
11101,Chinese,0.052
11101,Dessert,0.069
11101,European,0.121
11101,French,0
11101,Italian,0.086
11101,Mexcian,0.034
11101,Other,0.069
11101,QuickMeal,0.069
11101,Seafood,0
10001,American,0.311
10001,Asian,0.262
10001,Chinese,0.041
10001,Dessert,0.074
10001,European,0.09
10001,French,0
10001,Italian,0.049
10001,Mexcian,0
10001,Other,0.09
10001,QuickMeal,0.074
10001,Seafood,0.008
11210,American,0.222
11210,Asian,0
11210,Chinese,0.222
11210,Dessert,0.111
11210,European,0
11210,French,0
11210,Italian,0
11210,Mexcian,0.333
11210,Other,0.111
11210,QuickMeal,0
11210,Seafood,0
11377,American,0.333
11377,Asian,0.263
11377,Chinese,0.088
11377,Dessert,0.088
11377,European,0.035
11377,French,0
11377,Italian,0.018
11377,Mexcian,0.018
11377,Other,0.07
11377,QuickMeal,0.088
11377,Seafood,0
10028,American,0.31
10028,Asian,0.119
10028,Chinese,0.024
10028,Dessert,0.048
10028,European,0.119
10028,French,0
10028,Italian,0.119
10028,Mexcian,0.048
10028,Other,0.071
10028,QuickMeal,0.143
10028,Seafood,0
11212,American,0.15
11212,Asian,0.05
11212,Chinese,0.25
11212,Dessert,0
11212,European,0.05
11212,French,0
11212,Italian,0.05
11212,Mexcian,0.35
11212,Other,0
11212,QuickMeal,0.05
11212,Seafood,0.05
11214,American,0.091
11214,Asian,0.068
11214,Chinese,0.409
11214,Dessert,0.068
11214,European,0.091
11214,French,0
11214,Italian,0.068
11214,Mexcian,0.023
11214,Other,0.023
11214,QuickMeal,0.159
11214,Seafood,0
10104,American,1
10104,Asian,0
10104,Chinese,0
10104,Dessert,0
10104,European,0
10104,French,0
10104,Italian,0
10104,Mexcian,0
10104,Other,0
10104,QuickMeal,0
10104,Seafood,0
10462,American,0.346
10462,Asian,0
10462,Chinese,0.154
10462,Dessert,0.077
10462,European,0
10462,French,0
10462,Italian,0.038
10462,Mexcian,0.077
10462,Other,0.038
10462,QuickMeal,0.231
10462,Seafood,0.038
11217,American,0.347
11217,Asian,0.102
11217,Chinese,0.041
11217,Dessert,0.02
11217,European,0.122
11217,French,0
11217,Italian,0.041
11217,Mexcian,0.122
11217,Other,0.061
11217,QuickMeal,0.122
11217,Seafood,0.02
10038,American,0.389
10038,Asian,0.111
10038,Chinese,0.167
10038,Dessert,0.028
10038,European,0.111
10038,French,0
10038,Italian,0.028
10038,Mexcian,0
10038,Other,0.056
10038,QuickMeal,0.111
10038,Seafood,0
10027,American,0.341
10027,Asian,0.114
10027,Chinese,0.045
10027,Dessert,0.023
10027,European,0.068
10027,French,0
10027,Italian,0.114
10027,Mexcian,0.068
10027,Other,0.136
10027,QuickMeal,0.091
10027,Seafood,0
11232,American,0.192
11232,Asian,0.115
11232,Chinese,0.077
11232,Dessert,0.038
11232,European,0.192
11232,French,0
11232,Italian,0.077
11232,Mexcian,0.192
11232,Other,0.077
11232,QuickMeal,0.038
11232,Seafood,0
11106,American,0.342
11106,Asian,0.053
11106,Chinese,0.079
11106,Dessert,0.026
11106,European,0.132
11106,French,0
11106,Italian,0.079
11106,Mexcian,0.105
11106,Other,0.053
11106,QuickMeal,0.132
11106,Seafood,0
11213,American,0.08
11213,Asian,0
11213,Chinese,0.24
11213,Dessert,0
11213,European,0.08
11213,French,0
11213,Italian,0
11213,Mexcian,0.32
11213,Other,0.16
11213,QuickMeal,0.12
11213,Seafood,0
10304,American,0.385
10304,Asian,0.077
10304,Chinese,0.154
10304,Dessert,0.077
10304,European,0
10304,French,0
10304,Italian,0.154
10304,Mexcian,0.077
10304,Other,0.077
10304,QuickMeal,0
10304,Seafood,0
10023,American,0.326
10023,Asian,0.093
10023,Chinese,0.047
10023,Dessert,0.047
10023,European,0.116
10023,French,0
10023,Italian,0.163
10023,Mexcian,0.047
10023,Other,0.047
10023,QuickMeal,0.093
10023,Seafood,0.023
11426,American,0.375
11426,Asian,0.25
11426,Chinese,0
11426,Dessert,0
11426,European,0
11426,French,0
11426,Italian,0.125
11426,Mexcian,0
11426,Other,0
11426,QuickMeal,0.25
11426,Seafood,0
11238,American,0.312
11238,Asian,0.083
11238,Chinese,0.083
11238,Dessert,0.062
11238,European,0.062
11238,French,0
11238,Italian,0.146
11238,Mexcian,0.125
11238,Other,0.062
11238,QuickMeal,0.062
11238,Seafood,0
10025,American,0.141
10025,Asian,0.219
10025,Chinese,0.125
10025,Dessert,0.078
10025,European,0.094
10025,French,0
10025,Italian,0.109
10025,Mexcian,0.109
10025,Other,0.031
10025,QuickMeal,0.094
10025,Seafood,0
11105,American,0.067
11105,Asian,0.167
11105,Chinese,0.033
11105,Dessert,0.033
11105,European,0.2
11105,French,0
11105,Italian,0.133
11105,Mexcian,0.033
11105,Other,0.1
11105,QuickMeal,0.2
11105,Seafood,0.033
10065,American,0.348
10065,Asian,0.109
10065,Chinese,0.022
10065,Dessert,0.087
10065,European,0.152
10065,French,0
10065,Italian,0.109
10065,Mexcian,0
10065,Other,0.022
10065,QuickMeal,0.152
10065,Seafood,0
11378,American,0.261
11378,Asian,0.087
11378,Chinese,0.13
11378,Dessert,0.043
11378,European,0.087
11378,French,0
11378,Italian,0.13
11378,Mexcian,0
11378,Other,0.043
11378,QuickMeal,0.217
11378,Seafood,0
11228,American,0.091
11228,Asian,0
11228,Chinese,0.182
11228,Dessert,0
11228,European,0
11228,French,0
11228,Italian,0.364
11228,Mexcian,0.273
11228,Other,0
11228,QuickMeal,0.091
11228,Seafood,0
11225,American,0.12
11225,Asian,0.04
11225,Chinese,0.08
11225,Dessert,0.12
11225,European,0.04
11225,French,0
11225,Italian,0
11225,Mexcian,0.4
11225,Other,0.04
11225,QuickMeal,0.16
11225,Seafood,0
10468,American,0.238
10468,Asian,0
10468,Chinese,0.095
10468,Dessert,0
10468,European,0.238
10468,French,0
10468,Italian,0
10468,Mexcian,0.095
10468,Other,0.048
10468,QuickMeal,0.286
10468,Seafood,0
11229,American,0.154
11229,Asian,0.256
11229,Chinese,0.154
11229,Dessert,0
11229,European,0.051
11229,French,0
11229,Italian,0.077
11229,Mexcian,0.077
11229,Other,0.077
11229,QuickMeal,0.154
11229,Seafood,0
10040,American,0.4
10040,Asian,0.05
10040,Chinese,0.1
10040,Dessert,0.05
10040,European,0.2
10040,French,0
10040,Italian,0
10040,Mexcian,0.05
10040,Other,0
10040,QuickMeal,0.15
10040,Seafood,0
11205,American,0.303
11205,Asian,0.121
11205,Chinese,0.121
11205,Dessert,0.03
11205,European,0.061
11205,French,0
11205,Italian,0.061
11205,Mexcian,0.061
11205,Other,0.091
11205,QuickMeal,0.121
11205,Seafood,0.03
10017,American,0.38
10017,Asian,0.203
10017,Chinese,0.025
10017,Dessert,0.063
10017,European,0.127
10017,French,0
10017,Italian,0.076
10017,Mexcian,0.013
10017,Other,0.013
10017,QuickMeal,0.101
10017,Seafood,0
10305,American,0.3
10305,Asian,0.05
10305,Chinese,0.15
10305,Dessert,0
10305,European,0.15
10305,French,0.05
10305,Italian,0.1
10305,Mexcian,0
10305,Other,0.05
10305,QuickMeal,0.15
10305,Seafood,0
10301,American,0.36
10301,Asian,0
10301,Chinese,0.16
10301,Dessert,0
10301,European,0.04
10301,French,0
10301,Italian,0.08
10301,Mexcian,0.08
10301,Other,0.12
10301,QuickMeal,0.16
10301,Seafood,0
10013,American,0.258
10013,Asian,0.141
10013,Chinese,0.234
10013,Dessert,0.062
10013,European,0.016
10013,French,0
10013,Italian,0.156
10013,Mexcian,0.016
10013,Other,0.016
10013,QuickMeal,0.102
10013,Seafood,0
10031,American,0.265
10031,Asian,0.118
10031,Chinese,0.118
10031,Dessert,0.059
10031,European,0.147
10031,French,0
10031,Italian,0.029
10031,Mexcian,0.176
10031,Other,0.029
10031,QuickMeal,0.059
10031,Seafood,0
10302,American,0.211
10302,Asian,0
10302,Chinese,0.211
10302,Dessert,0
10302,European,0
10302,French,0
10302,Italian,0.158
10302,Mexcian,0.211
10302,Other,0.053
10302,QuickMeal,0.158
10302,Seafood,0
10303,American,0.444
10303,Asian,0.222
10303,Chinese,0.111
10303,Dessert,0
10303,European,0
10303,French,0
10303,Italian,0
10303,Mexcian,0
10303,Other,0
10303,QuickMeal,0.222
10303,Seafood,0
11233,American,0.167
11233,Asian,0
11233,Chinese,0.292
11233,Dessert,0.208
11233,European,0.042
11233,French,0
11233,Italian,0
11233,Mexcian,0.083
11233,Other,0.167
11233,QuickMeal,0.042
11233,Seafood,0
11361,American,0.227
11361,Asian,0.318
11361,Chinese,0.045
11361,Dessert,0.091
11361,European,0
11361,French,0
11361,Italian,0.091
11361,Mexcian,0
11361,Other,0
11361,QuickMeal,0.227
11361,Seafood,0
11211,American,0.393
11211,Asian,0.107
11211,Chinese,0.083
11211,Dessert,0.06
11211,European,0.06
11211,French,0
11211,Italian,0.083
11211,Mexcian,0.036
11211,Other,0.131
11211,QuickMeal,0.048
11211,Seafood,0
11429,American,0.143
11429,Asian,0
11429,Chinese,0.143
11429,Dessert,0
11429,European,0
11429,French,0
11429,Italian,0
11429,Mexcian,0.286
11429,Other,0.143
11429,QuickMeal,0.286
11429,Seafood,0
11420,American,0.208
11420,Asian,0.042
11420,Chinese,0.125
11420,Dessert,0
11420,European,0
11420,French,0
11420,Italian,0
11420,Mexcian,0.458
11420,Other,0.042
11420,QuickMeal,0.125
11420,Seafood,0
11417,American,0.238
11417,Asian,0
11417,Chinese,0.333
11417,Dessert,0.048
11417,European,0.095
11417,French,0
11417,Italian,0.048
11417,Mexcian,0.095
11417,Other,0.048
11417,QuickMeal,0.095
11417,Seafood,0
11230,American,0.069
11230,Asian,0.069
11230,Chinese,0.103
11230,Dessert,0
11230,European,0.069
11230,French,0
11230,Italian,0.103
11230,Mexcian,0
11230,Other,0.483
11230,QuickMeal,0.103
11230,Seafood,0
11355,American,0.067
11355,Asian,0.178
11355,Chinese,0.622
11355,Dessert,0.022
11355,European,0
11355,French,0
11355,Italian,0
11355,Mexcian,0
11355,Other,0.022
11355,QuickMeal,0.089
11355,Seafood,0
11385,American,0.299
11385,Asian,0.03
11385,Chinese,0.104
11385,Dessert,0.164
11385,European,0.149
11385,French,0
11385,Italian,0.075
11385,Mexcian,0.075
11385,Other,0
11385,QuickMeal,0.104
11385,Seafood,0
11354,American,0.079
11354,Asian,0.329
11354,Chinese,0.474
11354,Dessert,0.066
11354,European,0
11354,French,0
11354,Italian,0.013
11354,Mexcian,0
11354,Other,0
11354,QuickMeal,0.039
11354,Seafood,0
10312,American,0.188
10312,Asian,0.125
10312,Chinese,0.062
10312,Dessert,0.062
10312,European,0
10312,French,0
10312,Italian,0.312
10312,Mexcian,0
10312,Other,0.062
10312,QuickMeal,0.188
10312,Seafood,0
10467,American,0.211
10467,Asian,0
10467,Chinese,0.132
10467,Dessert,0.026
10467,European,0.158
10467,French,0
10467,Italian,0.026
10467,Mexcian,0.211
10467,Other,0.026
10467,QuickMeal,0.211
10467,Seafood,0
10271,American,1
10271,Asian,0
10271,Chinese,0
10271,Dessert,0
10271,European,0
10271,French,0
10271,Italian,0
10271,Mexcian,0
10271,Other,0
10271,QuickMeal,0
10271,Seafood,0
11360,American,0.625
11360,Asian,0
11360,Chinese,0
11360,Dessert,0
11360,European,0
11360,French,0
11360,Italian,0.125
11360,Mexcian,0
11360,Other,0
11360,QuickMeal,0.25
11360,Seafood,0
11432,American,0.278
11432,Asian,0.167
11432,Chinese,0.194
11432,Dessert,0.028
11432,European,0.083
11432,French,0
11432,Italian,0
11432,Mexcian,0.083
11432,Other,0.083
11432,QuickMeal,0.083
11432,Seafood,0
10024,American,0.349
10024,Asian,0.163
10024,Chinese,0.07
10024,Dessert,0.07
10024,European,0.07
10024,French,0
10024,Italian,0.093
10024,Mexcian,0.023
10024,Other,0.07
10024,QuickMeal,0.07
10024,Seafood,0.023
11374,American,0.133
11374,Asian,0
11374,Chinese,0.067
11374,Dessert,0.067
11374,European,0.067
11374,French,0
11374,Italian,0
11374,Mexcian,0
11374,Other,0.533
11374,QuickMeal,0.133
11374,Seafood,0
11364,American,0.077
11364,Asian,0.615
11364,Chinese,0.077
11364,Dessert,0
11364,European,0
11364,French,0
11364,Italian,0.231
11364,Mexcian,0
11364,Other,0
